citation,ref_year,ref_author,reference_id
"Geomatrix Consultants, Inc., 1995, Seismic design mapping, State of Oregon: Technical report to Oregon Department of Transportation, Salem, Oregon, under Contract 11688, January 1995, unpaginated, 5 pls., scale 1:1,250,000.",1995,"Geomatrix Consultants, Inc.",10062
"Madin, I.P., and Mabey, M.A., 1996, Earthquake hazard maps for Oregon: State of Oregon, Department of Geology and Mineral Industries Geological Map Series GMS-100, 1 sheet.",1996,"Madin, I.P., and Mabey, M.A.",10062
"Pezzopane, S.K., 1993, Active faults and earthquake ground motions in Oregon: Eugene, Oregon, University of Oregon, unpublished Ph.D. dissertation, 208 p.",1993,"Pezzopane, S.K.",10062
"Walker, G.W., 1963, Reconnaissance geologic map of the eastern half of the Klamath Falls (AMS) quadrangle, Lake and Klamath Counties, Oregon: U.S. Geological Survey Mineral Investigations Field Studies Map MF-260, 1 sheet, scale 1:250,000.",1963,"Walker, G.W.",10062
"Walker, G.W., and MacLeod, N.S., 1991, Geologic map of Oregon: U.S. Geological Survey, Special Geologic Map, 2 sheets, scale 1:500,000.",1991,"Walker, G.W., and MacLeod, N.S.",10062
"Weldon, R.J., Fletcher, D.K., Weldon, E.M., Scharer, K.M., and McCrory, P.A., 2002, An update of Quaternary faults of central and eastern Oregon: U.S. Geological Survey Open-File Report 02-301 (CD-ROM), 26 sheets, scale 1:100,000.",2002,"Weldon, R.J., Fletcher, D.K., Weldon, E.M., Scharer, K.M., and McCrory, P.A.",10062
"Atwater, B.F., 1999, Radiocarbon dating of a Seattle earthquake to A.D. 900-930 [abs.]: Seismological Research Letters, v. 70, p. 232.",1999,"Atwater, B.F.",10063
"Brocher, T.M., Parsons, T., Blakely, R.J., Christensen, N.I., Fisher, M.A., Wells, R.E., and SHIPS Working Group, 2001, Upper crustal structure in Puget Lowland, Washington—Results from the 1998 seismic hazards investigation in Puget Sound: Journal of Geophysical Research, v. 106, p. 13,541–13,564.",2001,"Brocher, T.M., Parsons, T., Blakely, R.J., Christensen, N.I., Fisher, M.A., Wells, R.E., and SHIPS Working Group",10063
"Bucknam, R.C., Hemphill-Haley, E., and Leopold, E.B., 1992, Abrupt uplift within the past 1700 years at southern Puget Sound, Washington: Science, v. 258, p. 1611-1614.",1992,"Bucknam, R.C., Hemphill-Haley, E., and Leopold, E.B.",10063
"Crandell, D.R., 1963, Surficial geology and geomorphology of the Lake Tapps quadrangle, Washington: U.S. Geological Survey Professional Paper 388-A, p. A1-A84.",1963,"Crandell, D.R.",10063
"Gard, L.M., Jr., 1968, Bedrock geology of the Lake Tapps quadrangle, Pierce County, Washington: U.S. Geological Survey Professional Paper 388-B, B1-B33 p.",1968,"Gard, L.M., Jr.",10063
"Gower, H.D., Yount, J.C., and Crosson, R.S., 1985, Seismotectonic map of the Puget Sound region, Washington: U.S. Geological Survey Miscellaneous Investigations Map I-1613, scale 1:250,000.",1985,"Gower, H.D., Yount, J.C., and Crosson, R.S.",10063
"Johnson, S.Y., Dadisman, S.V., Childs, J.R., and Stanley, W.D., 1999, Active tectonics of the Seattle fault and central Puget Lowland—Implications for earthquake hazards: Geological Society of America Bulletin, v. 111, p. 1042-1053 and oversize insert.",1999,"Johnson, S.Y., Dadisman, S.V., Childs, J.R., and Stanley, W.D.",10063
"Johnson, S.Y., Potter, C.J., and Armentrout, J.M., 1994, Origin and Evolution of the Seattle fault and Seattle basin: Geology, v. 22, p. 71-74 and oversize insert.",1994,"Johnson, S.Y., Potter, C.J., and Armentrout, J.M.",10063
"Johnson, S.Y., Potter, C.J., Armentrout, J.M., Miller, J.J., Finn, C., and Weaver, C.S., 1996, The southern Whidbey Island fault—An active structure in the Puget Lowland, Washington: Geological Society of America Bulletin, v. 108, p. 334-354 and oversize insert.",1996,"Johnson, S.Y., Potter, C.J., Armentrout, J.M., Miller, J.J., Finn, C., and Weaver, C.S.",10063
"Nelson, A.R., Johnson, S.Y., Kelsey, H.M., Wells, R.E., Sherrod, B.L., Pezzopane, S.K., Bradley, L., and Koehler, R.D., III, 2003, Late Holocene earthquakes on the Toe Jam Hill fault, Seattle fault zone, Bainbridge Island, Washington: Geological Society of America Bulletin, v. 115, no. 11, p. 16.",2003,"Nelson, A.R., Johnson, S.Y., Kelsey, H.M., Wells, R.E., Sherrod, B.L., Pezzopane, S.K., Bradley, L., and Koehler, R.D., III",10063
"Pratt, T.L., Johnson, S., Potter, C., Stephenson, W., and Finn, C., 1997, Seismic reflection images beneath Puget Sound, western Washington State—The Puget Lowland thrust sheet hypothesis: Journal of Geophysical Research, v. 102, p. 27,469-27,489.",1997,"Pratt, T.L., Johnson, S., Potter, C., Stephenson, W., and Finn, C.",10063
"Gilbert, J.D., Piety, L., and LaForge, R., 1983, Seismotectonic study for Black Canyon Dam, Boise project, Idaho: U.S. Bureau of Reclamation Seismotectonic Report 83-7, 73 p., 8 pl.",1983,"Gilbert, J.D., Piety, L., and LaForge, R.",10064
"Othberg, K.L., 1986, Late Cenozoic geology and the Tenmile Gravel near Lucky Peak Dam, Idaho, <i>in</i> Wood, S.H., ed., Proceedings of the 22nd Symposium on Engineering Geology and Soils Engineering: Boise, Idaho, Idaho Department of Transportation, p. 533-545.",1986,"Othberg, K.L.",10064
"Breckenridge, R.M., Lewis, R.S., Adema, G.W., and Weisz, D.W., 2003, Miocene and younger faults in Idaho: Idaho Geological Survey Map 8, 1 sheet, scale 1:1,000,000.",2003,"Breckenridge, R.M., Lewis, R.S., Adema, G.W., and Weisz, D.W.",10065
"Wilson, A.B., and Skipp, B., 1994, Geologic map of the eastern part of the Challis National Forest and vicinity, Idaho: U.S. Geological Survey Miscellaneous Investigations Map I-2395, 1 sheet, scale 1:250,000.",1994,"Wilson, A.B., and Skipp, B.",10065
"Gilbert, J.D., and LaForge, R.C., 1988, Seismotectonic study for Anderson Ranch Dam, Boise project, Idaho: U.S. Bureau of Reclamation Seismotectonic Report 88-4, 37 p., 1 pl.",1988,"Gilbert, J.D., and LaForge, R.C.",10066
"Geomatrix Consultants, Inc., 1989, Final report seismotectonic evaluation for Little Wood River Dam site: Technical report to U.S. Department of Interior, Bureau of Reclamation, Denver, Colorado, 104 p., 2 pls.",1989,"Geomatrix Consultants, Inc.",10067
"Anderson, A.L., 1939, Geology and ore deposits of the Atlanta District Elmore County, Idaho: Idaho Bureau of Mines and Geology Pamphlet 49, 71 p.",1939,"Anderson, A.L.",10068
"Gilbert, J.D., and LaForge, R.C., 1988, Seismotectonic study for Anderson Ranch Dam, Boise project, Idaho: U.S. Bureau of Reclamation Seismotectonic Report 88-4, 37 p., 1 pl.",1988,"Gilbert, J.D., and LaForge, R.C.",10069
"Billingsley, G.H., 1995, Geologic map of the Littlefield quadrangle, northern Mohave county, Arizona: U.S. Geological Survey Open-File Report 95-559, 16 p., 1 pl., scale 1:24,000.",1995,"Billingsley, G.H.",1007
"Billingsley, G.H., and Bohannon, R.C., 1995, Geologic map of the Elbow Canyon quadrangle, northern Mohave County, Arizona: U.S. Geological Survey Open-File Report 95-560, 17 p., 1 pl., scale 1;24,000.",1995,"Billingsley, G.H., and Bohannon, R.C.",1007
"Dohrenwend, J.C., Menges, C.M., Schell, B.A., and Moring, B.C., 1991, Reconnaissance photogeologic map of young faults in the Las Vegas 1° by 2° quadrangle, Nevada, California, and Arizona: U.S. Geological Survey Miscellaneous Field Studies Map MF-2182, 1 sheet, scale 1:250,000.",1991,"Dohrenwend, J.C., Menges, C.M., Schell, B.A., and Moring, B.C.",1007
"Mayer, L., 1982, Quantitative tectonic geomorphology with applications to neotectonics of northwestern Arizona: Tucson, University of Arizona, unpublished Ph.D. dissertation, 213 p.",1982,"Mayer, L.",1007
"Moore, R.T., 1972, Geology of the Virgin and Beaverdam Mountains, Arizona: Arizona Bureau of Mines Bulletin 186, 65 p., scale 1:62,500.",1972,"Moore, R.T.",1007
"Clemens, D.M., and Wood, S.H., 1993, Late Cenozoic volcanic stratigraphy and geochronology of the Mount Bennett Hills, central Snake River Plain, Idaho: Isochronwest, v. 60, p. 3-14.",1993,"Clemens, D.M., and Wood, S.H.",10070
"Cluer, J.K., and Cluer, B.L., 1986, The late Cenozoic Camas Prairie rift, south-central Idaho: Contributions to Geology, University of Wyoming, v. 24, no. 1, p. 91-101.",1986,"Cluer, J.K., and Cluer, B.L.",10070
"Clemens, D.M., and Wood, S.H., 1993, Late Cenozoic volcanic stratigraphy and geochronology of the Mount Bennett Hills, central Snake River Plain, Idaho: Isochronwest, v. 60, p. 3-14.",1993,"Clemens, D.M., and Wood, S.H.",10071
"Breckenridge, R.M., Lewis, R.S., Adema, G.W., and Weisz, D.W., 2003, Miocene and younger faults in Idaho: Idaho Geological Survey Map 8, 1 sheet, scale 1:1,000,000.",2003,"Breckenridge, R.M., Lewis, R.S., Adema, G.W., and Weisz, D.W.",10072
"Gilbert, J.D., and LaForge, R.C., 1988, Seismotectonic study for Anderson Ranch Dam, Boise project, Idaho: U.S. Bureau of Reclamation Seismotectonic Report 88-4, 37 p., 1 pl.",1988,"Gilbert, J.D., and LaForge, R.C.",10073
"Cluer, J.K., and Cluer, B.L., 1986, The late Cenozoic Camas Prairie rift, south-central Idaho: Contributions to Geology, University of Wyoming, v. 24, no. 1, p. 91-101.",1986,"Cluer, J.K., and Cluer, B.L.",10074
"Geomatrix Consultants, Inc., 1989, Final report seismotectonic evaluation for Little Wood River Dam site: Technical report to U.S. Department of Interior, Bureau of Reclamation, Denver, Colorado, 104 p., 2 pls.",1989,"Geomatrix Consultants, Inc.",10074
"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J., 1982, Neotectonic features of southern Montana east of 112°30' west longitude: Montana Bureau of Mines and Geology Open-File Report 91, 79 p., 2 sheets.",1982,"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J.",10075
"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J., 1982, Neotectonic features of southern Montana east of 112°30' west longitude: Montana Bureau of Mines and Geology Open-File Report 91, 79 p., 2 sheets.",1982,"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J.",10076
"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J., 1982, Neotectonic features of southern Montana east of 112°30' west longitude: Montana Bureau of Mines and Geology Open-File Report 91, 79 p., 2 sheets.",1982,"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J.",10077
"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J., 1982, Neotectonic features of southern Montana east of 112°30' west longitude: Montana Bureau of Mines and Geology Open-File Report 91, 79 p., 2 sheets.",1982,"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J.",10078
"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J., 1982, Neotectonic features of southern Montana east of 112°30' west longitude: Montana Bureau of Mines and Geology Open-File Report 91, 79 p., 2 sheets.",1982,"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J.",10079
"Billingsley, G.H., 1995, Geologic map of the Littlefield quadrangle, northern Mohave county, Arizona: U.S. Geological Survey Open-File Report 95-559, 16 p., 1 pl., scale 1:24,000.",1995,"Billingsley, G.H.",1008
"Billingsley, G.H., and Bohannon, R.C., 1995, Geologic map of the Elbow Canyon quadrangle, northern Mohave County, Arizona: U.S. Geological Survey Open-File Report 95-560, 17 p., 1 pl., scale 1;24,000.",1995,"Billingsley, G.H., and Bohannon, R.C.",1008
"Dohrenwend, J.C., Menges, C.M., Schell, B.A., and Moring, B.C., 1991, Reconnaissance photogeologic map of young faults in the Las Vegas 1° by 2° quadrangle, Nevada, California, and Arizona: U.S. Geological Survey Miscellaneous Field Studies Map MF-2182, 1 sheet, scale 1:250,000.",1991,"Dohrenwend, J.C., Menges, C.M., Schell, B.A., and Moring, B.C.",1008
"Menges, C.M., and Pearthree, P.A., 1983, Map of neotectonic (latest Pliocene-Quaternary) deformation in Arizona: Arizona Geological Survey Open-File Report 83-22, 48 p., scale 1:500,000.",1983,"Menges, C.M., and Pearthree, P.A.",1008
"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J., 1982, Neotectonic features of southern Montana east of 112°30' west longitude: Montana Bureau of Mines and Geology Open-File Report 91, 79 p., 2 sheets.",1982,"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J.",10080
"Dohrenwend, J.C., Schell, B.A., McKittrick, M.A., and Moring, B.C., 1992, Reconnaissance photogeologic map of young faults in the Goldfield 1° by 2° quadrangle, Nevada and California: U.S. Geological Survey Miscellaneous Field Studies Map MF-2183, 1 sheet, scale 1:250,000.",1992,"Dohrenwend, J.C., Schell, B.A., McKittrick, M.A., and Moring, B.C.",10081
"Piety, L.A., 1995, Compilation of known and suspected Quaternary faults within 100 km of Yucca Mountain, Nevada and California: U.S. Geological Survey Open-File Report 94-112, 404 p., 2 pls., scale 1:250,000.",1995,"Piety, L.A.",10081
"Reheis, M.C., 1992, Aerial photographic interpretation of lineaments and faults in late Cenozoic deposits in the Cactus Flat and Pahute Mesa 1:100,000 quadrangles and the western parts of the Timpahute Range, Pahranagat Range, Indian Springs, and Las Vegas 1:100,000 quadrangles, Nevada: U.S. Geological Survey Open-File Report 92-193, 14 p., 3 pls., scale 1:100,000.",1992,"Reheis, M.C.",10081
"Dohrenwend, J.C., Menges, C.M., Schell, B.A., and Moring, B.C., 1991, Reconnaissance photogeologic map of young faults in the Las Vegas 1° by 2° quadrangle, Nevada, California, and Arizona: U.S. Geological Survey Miscellaneous Field Studies Map MF-2182, 1 sheet, scale 1:250,000.",1991,"Dohrenwend, J.C., Menges, C.M., Schell, B.A., and Moring, B.C.",10082
"Ekren, E.B., Orkild, P.P., Sargent, K.A., and Dixon, G.L., 1977, Geologic map of Tertiary rocks, Lincoln County, Nevada: U.S. Geological Survey Miscellaneous Investigations Map I-1041, 1 sheet, scale 1:250,000.",1977,"Ekren, E.B., Orkild, P.P., Sargent, K.A., and Dixon, G.L.",10083
"Piety, L.A., 1995, Compilation of known and suspected Quaternary faults within 100 km of Yucca Mountain, Nevada and California: U.S. Geological Survey Open-File Report 94-112, 404 p., 2 pls., scale 1:250,000.",1995,"Piety, L.A.",10083
"Schell, B.A., 1981, Faults and lineaments in the MX Siting Region, Nevada and Utah, Volume II: Technical report to U.S. Department of [Defense] the Air Force, Norton Air Force Base, California, under Contract FO4704-80-C-0006, November 6, 1981, 29 p., 11 pls., scale 1:250,000.",1981,"Schell, B.A.",10083
"Tschanz, C.M., and Pampeyan, E.H., 1970, Geology and mineral deposits of Lincoln County, Nevada: Nevada Bureau of Mines and Geology Bulletin 73, 188 p.",1970,"Tschanz, C.M., and Pampeyan, E.H.",10083
"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J., 1982, Neotectonic features of southern Montana east of 112°30' west longitude: Montana Bureau of Mines and Geology Open-File Report 91, 79 p., 2 sheets.",1982,"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J.",10084
"Pardee, J.T., 1950, Late Cenozoic block faulting in western Montana: Geological Society of America Bulletin, v. 61, p. 359-406.",1950,"Pardee, J.T.",10084
"Robinson, G.D., 1967, Geologic map of the Toston quadrangle southwestern Montana: U.S. Geological Survey Geologic Investigations Map I-486, 2 sheets, scale 1:24,000.",1967,"Robinson, G.D.",10084
"Andretta, D.B., and Alsup, S.A., 1960, Geology and Cenozoic history of the Norris-Elk Creek area, southwest Montana, <i>in</i> Campau, D.E., and Anisgard, H.W., eds., West Yellowstone—Earthquake area: Billings Geological Society, 11th Annual Field Conference, September 7-10, 1960, Guidebook, p. 185-190.",1960,"Andretta, D.B., and Alsup, S.A.",10085
"Carl, J.D., 1970, Block faulting and development of drainage, northern Madison Mountains, Montana: Geological Society of America Bulletin, v. 81, p. 2287-2298.",1970,"Carl, J.D.",10085
"Feichtinger, S.H., 1970, Geology of a portion of the Norris quadrangle with emphasis on Tertiary sediments Madison and Gallatin Counties, Montana: Bozeman, Montana State University, unpublished M.S. thesis, 85 p., 2 pls.",1970,"Feichtinger, S.H.",10085
"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J., 1982, Neotectonic features of southern Montana east of 112°30' west longitude: Montana Bureau of Mines and Geology Open-File Report 91, 79 p., 2 sheets.",1982,"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J.",10086
"Pardee, J.T., 1927, The Montana earthquake of June 27, 1925, <i>in</i> Shorter contributions to general geology 1926: U.S. Geological Survey Professional Paper 147, p. 7-23.",1927,"Pardee, J.T.",10086
"Pardee, J.T., 1950, Late Cenozoic block faulting in western Montana: Geological Society of America Bulletin, v. 61, p. 359-406.",1950,"Pardee, J.T.",10086
"Qamar, A., and Hawley, B., 1979, Seismic activity near the Three Forks Basin, Montana: Bulletin of the Seismological Society of America, v. 69, p. 1917-1929.",1979,"Qamar, A., and Hawley, B.",10086
"Wong, I.G., Olig, S.S., Gorton, A.E., and Naugler, W.E., 1999, Seismotectonic evaluation of the Broadwater Power Project, Toston Dam, Montana: Report prepared for Montana Department of Natural Resources and Conservation, Helena, Mont., 57 p.",1999,"Wong, I.G., Olig, S.S., Gorton, A.E., and Naugler, W.E.",10086
"Gary, S.D., 1980, Quaternary geology and geophysics of the upper Madison Valley, Madison County, Montana: Missoula, University of Montana, unpublished M.S. thesis, 76 p., 2 pls.",1980,"Gary, S.D.",10087
"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J., 1982, Neotectonic features of southern Montana east of 112°30' west longitude: Montana Bureau of Mines and Geology Open-File Report 91, 79 p., 2 sheets.",1982,"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J.",10087
"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J., 1982, Neotectonic features of southern Montana east of 112°30' west longitude: Montana Bureau of Mines and Geology Open-File Report 91, 79 p., 2 sheets.",1982,"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J.",10088
"Manley, W.F., 1992, Seismotectonic studies on the Flathead Indian Reservation, Montana—Investigation of the Dry Fork fault: U.S. Bureau of Reclamation Seismotectonic Report 92-1, 57 p., 1 pl., scale 1:24,000.",1992,"Manley, W.F.",10089
"Anderson, L.W., and O'Connell, D.R., 1993, Seismotectonic study of the northern portion of the lower Colorado River, Arizona, California, and Nevada: U.S. Bureau of Reclamation Seismotectonic Report 93-4, 122 p., 3 sheets.",1993,"Anderson, L.W., and O'Connell, D.R.",1009
"Longwell, C.R., 1936, Geology of the Boulder Reservoir floor, Arizona-Nevada: Geological Society of America Bulletin, v. 47, no. 9, p. 1393-1476.",1936,"Longwell, C.R.",1009
"Longwell, C.R., 1963, Reconnaissance geology between Lake Mead and Davis Dam, Arizona-Nevada: U.S. Geological Survey Professional Paper 374-E, 51 p., 1 pl., scale 1:125,000.",1963,"Longwell, C.R.",1009
"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J., 1982, Neotectonic features of southern Montana east of 112°30' west longitude: Montana Bureau of Mines and Geology Open-File Report 91, 79 p., 2 sheets.",1982,"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J.",10090
"Shelden, A.W., 1960, Cenozoic faults and related geomorphic features in the Madison Valley, Montana, <i>in</i> Campau, D.E., and Anisgard, H.W., eds., West Yellowstone—Earthquake area: Billings Geological Society, 11th Annual Field Conference, September 7-10, 1960, p. 178-184.",1960,"Shelden, A.W.",10090
"Stickney, M.C., and Bartholomew, M.J., 1987, Seismicity and late Quaternary faulting of the northern Basin and Range province, Montana and Idaho: Bulletin of the Seismological Society of America, v. 77, p. 1602-1625.",1987,"Stickney, M.C., and Bartholomew, M.J.",10090
"Stickney, M.C., and Bartholomew, M.J., 1987, Preliminary map of late Quaternary faults in western Montana: Montana Bureau of Mines and Geology Open-File Report 186, 1 pl., scale 1:500,000.",1987,"Stickney, M.C., and Bartholomew, M.J.",10090
"Brown, C.W., 1961, Cenozoic stratigraphy and structural geology, northeast Yellowstone National Park, Wyoming and Montana: Geological Society of America Bulletin, v. 72, p. 1173-1194.",1961,"Brown, C.W.",10091
"Fraser, G.D., Waldrop, H.A., and Hyden, H.J., 1969, Geology of the Gardiner area, Park County, Montana: U.S. Geological Survey Bulletin 1277, 118 p., 1 pl., scale 1:24,000.",1969,"Fraser, G.D., Waldrop, H.A., and Hyden, H.J.",10091
"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J., 1982, Neotectonic features of southern Montana east of 112°30' west longitude: Montana Bureau of Mines and Geology Open-File Report 91, 79 p., 2 sheets.",1982,"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J.",10091
"Pierce, K.L., Adams, K.D., and Sturchio, N.C., 1991, Geologic setting of the Corwin Springs Known Geothermal Resources Area-Mammoth Hot Springs Area in and adjacent to Yellowstone National Park, <i>in</i> Sorey, M.L., ed., Effects of potential geothermal development in the Corwin Springs Known Geothermal Resources Area, Montana, on the thermal features of Yellowstone National Park: U.S. Geological Survey Water-Resources Investigations Report 91-4052.",1991,"Pierce, K.L., Adams, K.D., and Sturchio, N.C.",10091
"Ruppel, E.T., 1972, Geology of pre-Tertiary rocks in the northern part of Yellowstone National Park, Wyoming: U.S. Geological Survey Professional Paper 729-A, 66 p., 1 pl., scale 1:62,500.",1972,"Ruppel, E.T.",10091
"Wilson, C.W., 1934, Geology of the thrust fault near Gardiner, Montana: Journal of Geology, v. 42, p. 649-663.",1934,"Wilson, C.W.",10091
"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J., 1982, Neotectonic features of southern Montana east of 112°30' west longitude: Montana Bureau of Mines and Geology Open-File Report 91, 79 p., 2 sheets.",1982,"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J.",10092
"Schofield, J.D., 1981, Structure of the Centennial and Madison Valleys based on gravitational interpretation, <i>in</i> Tucker, T.E., ed., Guidebook to southwest Montana: Montana Geological Society, 1981 Field Conference and Symposium, p. 275-283.",1981,"Schofield, J.D.",10092
"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J., 1982, Neotectonic features of southern Montana east of 112°30' west longitude: Montana Bureau of Mines and Geology Open-File Report 91, 79 p., 2 sheets.",1982,"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J.",10093
"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J., 1982, Neotectonic features of southern Montana east of 112°30' west longitude: Montana Bureau of Mines and Geology Open-File Report 91, 79 p., 2 sheets.",1982,"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J.",10094
"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J., 1982, Neotectonic features of southern Montana east of 112°30' west longitude: Montana Bureau of Mines and Geology Open-File Report 91, 79 p., 2 sheets.",1982,"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J.",10095
"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J., 1982, Neotectonic features of southern Montana east of 112°30' west longitude: Montana Bureau of Mines and Geology Open-File Report 91, 79 p., 2 sheets.",1982,"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J.",10096
"Ostenaa, D., and Wood, C., 1990, Seismotectonic study for Clark Canyon Dam, Pick-Sloan Missouri Basin Program, Montana: U.S. Bureau of Reclamation Seismotectonic Report 90-4, 78 p., 1 pl.",1990,"Ostenaa, D., and Wood, C.",10097
"Pierce, K.L., and Morgan, L.A., 1992, The track of the Yellowstone hot spot—Volcanism, faulting, and uplift, <i>in</i> Link, P.K., Kuntz, M.A., and Platt, L.B., eds., Regional geology of eastern Idaho and western Wyoming: Geological Society of America Memoir 179, p. 1-53, 1 pl.",1992,"Pierce, K.L., and Morgan, L.A.",10097
"Ruppel, E.T., 1982, Cenozoic block uplifts in east-central Idaho and southwest Montana: U.S. Geological Survey Professional Paper 1224, 24 p.",1982,"Ruppel, E.T.",10097
"Scholten, R., 1981, Horse Prairie fault in southwest Montana—Its role in sedimentation and tectogenesis: Geological Society of America Abstracts with Programs, v. 13, no. 4, p. 225.",1981,"Scholten, R.",10097
"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J., 1982, Neotectonic features of southern Montana east of 112°30' west longitude: Montana Bureau of Mines and Geology Open-File Report 91, 79 p., 2 sheets.",1982,"Johns, W.M., Straw, W.T., Bergantino, R.N., Dresser, H.W., Hendrix, T.E., McClernan, H.G., Palmquist, J.C., and Schmidt, C.J.",10098
"Kellogg, K.S., 1993, Geologic map of the Cherry Lake quadrangle, Madison County, Montana: U.S. Geological Survey Geologic quadrangle Map GQ-1725, 1 sheet, scale 1:24,000.",1993,"Kellogg, K.S.",10098
"Kellogg, K.S., 1993, Geologic map of the Ennis Lake quadrangle, Madison County, Montana: U.S. Geological Survey Geologic quadrangle Map GQ-1729, 1 sheet, scale 1:24,000.",1993,"Kellogg, K.S.",10098
